"Name","Race","Gender","Class","Realm","Guild","AchievementPoints","HonorableKills","Faction","AppearanceCount","CharacterAge","PlayedTime","AchievementsTotal","ilvl"
"Larahh",4,1,11,"Tauri","Outlaws",20395,335580,"Alliance",3468,"14 years 8 months 13 days",57646808,24520,854.31
"Darkpaladino",10,0,2,"Tauri","",20325,228217,"Horde",4187,"16 years 8 months 3 days",48147655,24375,829.5
"Hupap",1,0,5,"Tauri","Outlaws",20295,155275,"Alliance",3060,"17 years 7 months 2 days",48573118,24320,853.13
"Spuky",3,1,7,"Evermoon","Leviathan",20280,84211,"Alliance",4288,"10 years 7 months 2 days",32144013,24340,852.38
"Yølkø",1,0,5,"Tauri","Outlaws",20125,137426,"Alliance",2701,"17 years 7 months 2 days",66223957,23820,853.4
"Morron",2,0,1,"Tauri","Infernum",20110,119214,"Horde",3699,"11 years 7 months 20 days",28159777,23960,850.5
"Ynes",1,1,6,"Tauri","Outlaws",20075,95831,"Alliance",5320,"13 years 8 months 26 days",39374277,24090,854.19
"Grey",1,0,9,"Tauri","Outlaws",19945,96182,"Alliance",3633,"17 years 7 months 2 days",54186052,23780,854.75
"Exa",2,1,8,"Evermoon","Endless",19930,132476,"Horde",2234,"16 years 10 months 14 days",44239693,23630,857.63
"Arrchangel",8,0,6,"WoD","Mythic",19915,65468,"Horde",4125,"13 years 3 months 18 days",42097952,23660,850.81
"Darkendevil",1,1,8,"Tauri","BOOSTED",19875,63425,"Alliance",7204,"15 years 2 months 29 days",44309834,23680,852.13
"Deylisz",11,1,2,"Tauri","Outlaws",19860,158003,"Alliance",3465,"16 years 11 months 8 days",51313331,23490,852.19
"Andás",1,0,2,"Evermoon","Tribunes of the Light",19850,85679,"Alliance",4048,"11 years 6 months 9 days",52395314,23735,852.56
"Shiranui",22,0,3,"Evermoon","Best Random Group",19835,56851,"Alliance",4544,"7 years 6 months 9 days",23213368,23695,851.53
"Xyhop",9,1,5,"Evermoon","Endless",19815,75490,"Horde",4703,"16 years 2 months 18 days",21634108,23590,855.38
"Nimphël",1,1,8,"Tauri","Outlaws",19725,209858,"Alliance",2175,"12 years 9 months 29 days",24677846,23250,851.67
"Aladdinmdfck",1,0,3,"Evermoon","Fekete Hold",19685,112169,"Alliance",4050,"9 years 8 months 10 days",26324191,23330,853
"Langston",2,0,3,"Evermoon","Endless",19630,51574,"Horde",3033,"7 years 9 months 25 days",20713170,23140,849.4
"Lilla",8,1,11,"Evermoon","Competence Optional",19595,51210,"Horde",3525,"15 years 0 months 28 days",45480898,23770,850.75
"Denim",1,0,2,"Tauri","Outlaws",19585,66079,"Alliance",4052,"14 years 8 months 16 days",51024854,23180,852.19
"Xenobian",4,1,3,"Tauri","BOOSTED",19570,78017,"Alliance",3336,"17 years 1 months 7 days",60857173,23320,851.6
"Harð",10,1,6,"Tauri","DevilsArmy",19535,95459,"Horde",2299,"16 years 3 months 16 days",53383433,23640,845.75
"Rem",4,1,1,"Evermoon","Хранители Вечности",19530,24915,"Alliance",6001,"5 years 6 months 13 days",21625104,23325,807.69
